"","gls.NOAR.ltrendweak","gls.NOAR.ltrendmed","gls.NOAR.ltrendstrong","gls.NOAR.notrend","gls.medAR.ltrendweak","gls.medAR.ltrendmed","gls.medAR.ltrendstrong","gls.medAR.notrend","gls.strongAR.ltrendweak","gls.strongAR.ltrendmed","gls.strongAR.ltrendstrong","gls.strongAR.notrend"
"1",3,3,10,6,6,7,5,9,10,2,10,1
"2",3,3,10,6,5,7,4,8,10,2,10,1
"3",4,3,10,6,5,7,4,8,10,2,10,1
"4",4,3,10,7,4,7,4,7,10,2,10,1
"5",4,3,10,7,4,7,4,6,10,1,10,1
"6",4,4,10,8,3,6,3,5,8,1,10,1
"7",5,4,10,8,3,6,3,4,3,1,10,1
"8",5,5,10,9,2,6,3,3,1,1,10,1
"9",6,6,10,9,2,6,2,2,1,1,10,1
"10",6,6,10,9,1,6,2,1,1,1,10,1
"11",7,7,10,9,1,6,2,1,1,1,10,1
"12",7,8,10,10,1,6,2,1,1,1,10,1
"13",8,8,10,10,1,6,2,1,1,1,10,1
"14",8,9,9,10,1,6,2,1,1,2,10,1
"15",8,9,8,10,1,5,2,1,1,2,9,2
"16",8,9,7,10,1,5,2,1,1,2,8,3
"17",8,9,6,10,1,5,2,1,1,2,8,4
"18",8,9,5,9,1,5,2,1,1,3,7,4
"19",8,9,4,9,1,5,2,1,1,3,7,5
"20",9,9,3,9,1,5,3,1,1,3,6,6
"21",8,9,2,6,1,8,1,2,1,6,1,5
"22",8,8,2,6,1,8,1,2,1,7,1,5
"23",8,8,2,6,2,8,1,3,1,8,1,4
"24",8,8,2,6,2,8,1,3,1,9,1,4
"25",9,8,2,7,3,8,1,3,1,10,1,4
"26",9,7,3,7,4,8,1,3,1,10,2,4
"27",9,7,3,7,5,7,1,3,1,10,3,3
"28",9,7,3,7,7,7,1,3,1,10,6,3
"29",9,6,4,8,8,7,1,3,1,10,8,3
"30",9,5,4,8,9,7,1,4,2,10,10,3
"31",9,4,5,8,10,6,1,4,4,10,10,3
"32",9,4,6,8,10,6,2,5,6,10,10,2
"33",8,3,7,8,10,5,4,5,8,10,10,3
"34",8,3,7,8,10,5,6,6,9,10,10,3
"35",8,3,8,8,10,5,8,6,10,10,10,3
"36",7,2,8,8,10,4,9,6,10,10,10,3
"37",7,2,8,8,10,4,9,7,10,10,10,3
"38",7,2,8,8,10,4,10,7,10,10,10,3
"39",7,2,9,8,10,4,10,7,10,10,10,3
"40",7,2,9,8,10,4,10,7,10,10,10,3
